,Unnamed: 0,Month_name,Date,Total,EV Penetration (in %),GDP per capita (in billion US dollars)
40,40,jan,2014-01-01,1657620,0.01,169.53
30,30,feb,2014-01-02,1427039,0.01,170.23
71,71,mar,2014-01-03,1625450,0.02,170.18
0,0,apr,2014-01-04,1554993,0.02,168.55
81,81,may,2014-01-05,1684166,0.01,170.73
61,61,jun,2014-01-06,1624486,0.01,171.58
51,51,jul,2014-01-07,1626970,0.01,170.59
10,10,aug,2014-01-08,1464384,0.01,171.21
111,111,sep,2014-01-09,1542500,0.02,169.79
101,101,oct,2014-01-10,1718799,0.02,170.43
91,91,nov,2014-01-11,1896519,0.02,170.27
20,20,dec,2014-01-12,1484227,0.02,170.64
41,41,jan,2015-01-01,1624151,0.01,173.74
31,31,feb,2015-01-02,1542658,0.01,174.59
72,72,mar,2015-01-03,1632503,0.01,176.01
1,1,apr,2015-01-04,1568690,0.01,176.06
82,82,may,2015-01-05,1653098,0.01,173.6
62,62,jun,2015-01-06,1708998,0.02,176.96
52,52,jul,2015-01-07,1658592,0.02,175.04
11,11,aug,2015-01-08,1476927,0.05,176.47
112,112,sep,2015-01-09,1542939,0.06,176.89
102,102,oct,2015-01-10,1549125,0.07,174.23
92,92,nov,2015-01-11,1956476,0.06,174.75
21,21,dec,2015-01-12,1751682,0.12,173.79
42,42,jan,2016-01-01,1736790,0.11,192.4
32,32,feb,2016-01-02,1747360,0.14,190.85
73,73,mar,2016-01-03,1763049,0.26,191.55
2,2,apr,2016-01-04,1735991,0.2,189.66
83,83,may,2016-01-05,1851232,0.22,192.31
63,63,jun,2016-01-06,1818261,0.28,192.7
53,53,jul,2016-01-07,1688693,0.26,190.1
12,12,aug,2016-01-08,1670991,0.24,189.41
113,113,sep,2016-01-09,1636173,0.26,191.02
103,103,oct,2016-01-10,1993720,0.32,190.95
93,93,nov,2016-01-11,2132151,0.23,192.43
22,22,dec,2016-01-12,1544109,0.29,189.55
43,43,jan,2017-01-01,1641829,0.28,223.03
33,33,feb,2017-01-02,1661828,0.27,219.86
74,74,mar,2017-01-03,2258765,0.27,222.85
3,3,apr,2017-01-04,1930319,0.26,219.82
84,84,may,2017-01-05,2011418,0.35,219.82
64,64,jun,2017-01-06,1947564,0.39,219.25
54,54,jul,2017-01-07,1811139,0.5,220.98
13,13,aug,2017-01-08,1735119,0.53,221.31
114,114,sep,2017-01-09,1790646,0.43,222.16
104,104,oct,2017-01-10,2251699,0.34,221.96
94,94,nov,2017-01-11,2455825,0.41,218.93
23,23,dec,2017-01-12,1789703,0.51,219.57
44,44,jan,2018-01-01,2109614,0.43,223.74
34,34,feb,2018-01-02,1906973,0.39,223.76
